Major Name,Total
Agr & Environmental Cmc & Educ,5
Agricultural & Applied Econ,396
Agricultural Communications,71
Agricultural Education,13
Agricultural Engineering,64
Agricultural Sciences,51
Agronomy,168
Animal Sciences,381
Application Design,6
CONSM ECON,40
CORE CURR,70
DAIRY SCI,32
DIETETICS,65
EXT EDUC,9
FAM&CON EC,17
Food Science & Human Nutrition,222
Forestry,66
GEN AGR,13
GEN H ECON,7
H DVL-FAM,96
HOME ECON,1
HR&FS A&ID,15
HR&FS GEN,3
HU DEV&FAM,13
Horticulture,53
INST MGMT,7
INT DSGN,114
Industrial Agriculture,91
MKT TEXT&A,127
Mechanical Agriculture,24
Nutritional Sciences,44
ORN HORT,74
PLANT PATH,32
Physics,386
REST MGMT,110
SOIL SCI,2
Secondary Education,31
Spanish,43
Speech & Hearing Science,101
Statistics,54
TEXT-APPRL,37
Teaching of Chemistry,15
Teaching of Earth Science,1
Teaching of English Sec Lang,63
Teaching of French,19
Teaching of German,9
Teaching of Mathematics,44
Teaching of Physics,1
VOC H E ED,11
