Major Name,Total
Architectural Studies,505
Architecture,190
Art Education,91
Art Foundation,150
Art History,28
Art and Design,38
Crafts,14
Dance,79
Graphic Design,67
History of Art,13
Industrial Design,112
Instrumental Music,82
Jazz Performance,33
Landscape Architecture,127
Music,357
Music Composition,12
Music Education,210
Music History,8
Musicology,14
New Media,25
Nondegree,21
Open Studies,8
Painting,35
Photography,36
Regional Planning,24
Sculpture,3
Theatre,176
Urban Planning,149
Voice,32
