Major Name,Total
African Studies,6
Asian Studies,8
Astronomy,64
Atmospheric Sciences,127
Biochemistry,208
Biology,816
Biophysics & Computnl Biology,70
Cell and Developmental Biology,38
Cell and Structural Biology,2
Chemical Engineering,644
Chemical Physics,10
Chemistry,753
Classical Philology,8
Classics,26
Communication,866
Comparative Literature,32
Creative Writing,16
E Asian Languages & Cultures,103
"Earth Systems, Env, & Society ",108
"Earth, Society, & Environment ",25
"Ecol, Evol, Conservation Biol ",23
Economics,928
English,697
Entomology,35
European Union Studies,8
French,77
Gender and Women's Studies,16
General Curriculum,24
Geography,63
Geology,65
German,16
Germanic Lang & Lit,14
Global Studies,263
Health Communication,1
History,529
History of Art,33
Individual Plans of Study,5
Integrative Biology,439
Interdisciplinary,10
International Studies,47
Italian,6
LAS - Undeclared,177
Latin American Studies,12
Latina/Latino Studies,8
Linguistics,103
Math & Computer Science,72
Mathematics,644
Microbiology,60
Molecular & Integrative Physi,31
Molecular and Cellular Biology,1051
Molecular&Cell Bio-undeclared,38
Neuroscience,60
Nondegree,176
Philosophy,129
Physics,242
Plant Biology,41
Political Science,826
Portuguese,4
Psychology,1446
Religion,19
Religious Studies,5
Rhetoric,107
Russian & E European Studies,2
Russian Lang & Literature,3
"Russian, E Eur, Eurasian St ",6
Slavic Languages & Literature,15
Sociology,328
Spanish,204
Speech Communication,13
Statistics,220
Statistics & Computer Science,16
Teaching of Biological Science,1
Teaching of English Sec Lang,49
Teaching of French,2
Teaching of German,1
Teaching of Latin,2
Teaching of Mathematics,6
Teaching of Spanish,26
