Major Name,Total
Accountancy,1330
Actuarial Science,343
Advertising,587
African American Studies,15
Anthropology,148
Applied Mathematics,46
Curriculum and Instruction,101
Early Childhood Education,60
Ed Organization and Leadership,28
"Educ Policy, Orgzn & Leadrshp ",201
Educational Policy Studies,92
Educational Psychology,50
Elementary Education,340
Human Resource Education,30
Learning and Education Studies,46
Middle Grades Education,37
Nondegree,7
Pre-Early Chld/Elem Ed/Spec Ed,13
Secondary Education,22
Special Education,174
