Major Name,Total
Aerospace Engineering,716
Agricultural & Biological Engr,152
Bioengineering,369
Bioinformatics,6
Bioinstrumentation,1
Civil Engineering,1319
Computer Engineering,1270
Computer Science,2048
Electrical & Computer Engr,620
Electrical Engineering,1025
Engineering,28
Engineering Mechanics,129
Engineering Physics,271
Engineering Undeclared,102
Environ Engr in Civil Engr,115
Environ Science in Civil Engr,1
Financial Engineering,128
General Engineering,3
Industrial Engineering,390
Materials Science & Engr,520
Mechanical Engineering,1306
Nondegree,184
Nuclear Engineering,2
"Nuclear, Plasma, Radiolgc Engr ",234
Physics,297
Systems & Entrepreneurial Engr,24
Systems Engineering and Design,228
Theoretical & Applied Mechans,42
