,Fall,Major Name,College,Total,Male,Female,Illinois,Non-Illinois
3271,1997,Agr & Consumer Economics,ACES,55,37,3,54,1
3475,1998,Agr & Consumer Economics,ACES,63,45,5,9,25
3678,1999,Agr & Consumer Economics,ACES,79,57,9,8,44
3875,2000,Agr & Consumer Economics,ACES,82,61,8,81,54
4062,2001,Agr & Consumer Economics,ACES,80,59,4,79,64
4244,2002,Agr & Consumer Economics,ACES,101,72,4,99,66
4427,2003,Agr & Consumer Economics,ACES,98,67,40,96,73
4608,2004,Agr & Consumer Economics,ACES,55,32,23,2,53
4780,2005,Agr & Consumer Economics,ACES,55,33,22,2,53
4951,2006,Agr & Consumer Economics,ACES,69,9,8,66,57
5127,2007,Agr & Consumer Economics,ACES,136,90,7,86,5
5306,2008,Agr & Consumer Economics,ACES,167,92,9,95,8
5489,2009,Agr & Consumer Economics,ACES,144,66,42,9,9
5686,2010,Agr & Consumer Economics,ACES,133,97,7,9,8
5886,2011,Agr & Consumer Economics,ACES,129,96,9,74,9
6093,2012,Agr & Consumer Economics,ACES,142,79,8,86,9
6300,2013,Agr & Consumer Economics,ACES,151,92,42,72,9
6508,2014,Agr & Consumer Economics,ACES,168,88,48,96,8
6715,2015,Agr & Consumer Economics,ACES,174,74,47,84,8
6923,2016,Agr & Consumer Economics,ACES,162,88,47,96,9
7129,2017,Agr & Consumer Economics,ACES,144,91,40,73,9
7342,2018,Agr & Consumer Economics,ACES,142,96,34,83,9
3,1980,Agr & Environmental Cmc & Educ,ACES,5,4,1,2,3
188,1981,Agr & Environmental Cmc & Educ,ACES,5,4,1,2,3
374,1982,Agr & Environmental Cmc & Educ,ACES,4,4,0,1,3
563,1983,Agr & Environmental Cmc & Educ,ACES,5,5,0,4,1
758,1984,Agr & Environmental Cmc & Educ,ACES,5,3,2,5,0
954,1985,Agr & Environmental Cmc & Educ,ACES,3,0,3,3,0
1151,1986,Agr & Environmental Cmc & Educ,ACES,6,4,2,4,2
1345,1987,Agr & Environmental Cmc & Educ,ACES,5,2,3,1,4
1538,1988,Agr & Environmental Cmc & Educ,ACES,4,3,1,2,2
1732,1989,Agr & Environmental Cmc & Educ,ACES,3,1,2,1,2
1927,1990,Agr & Environmental Cmc & Educ,ACES,7,4,3,3,4
2122,1991,Agr & Environmental Cmc & Educ,ACES,7,1,6,6,1
2314,1992,Agr & Environmental Cmc & Educ,ACES,5,2,3,5,0
2503,1993,Agr & Environmental Cmc & Educ,ACES,8,5,3,5,3
2691,1994,Agr & Environmental Cmc & Educ,ACES,5,4,1,3,2
2886,1995,Agr & Environmental Cmc & Educ,ACES,10,6,4,9,1
3079,1996,Agr & Environmental Cmc & Educ,ACES,9,5,4,9,0
3272,1997,Agr & Environmental Cmc & Educ,ACES,27,6,6,9,1
3476,1998,Agr & Environmental Cmc & Educ,ACES,48,4,8,8,2
3679,1999,Agr & Environmental Cmc & Educ,ACES,58,5,7,8,2
3876,2000,Agr & Environmental Cmc & Educ,ACES,60,5,8,8,2
4063,2001,Agr & Environmental Cmc & Educ,ACES,65,6,7,8,2
4245,2002,Agr & Environmental Cmc & Educ,ACES,81,4,9,79,2
4428,2003,Agr & Environmental Cmc & Educ,ACES,73,5,51,71,2
4609,2004,Agr & Environmental Cmc & Educ,ACES,60,3,5,8,2
4781,2005,Agr & Environmental Cmc & Educ,ACES,52,5,6,9,1
4952,2006,Agr & Environmental Cmc & Educ,ACES,34,9,6,8,0
5128,2007,Agr & Environmental Cmc & Educ,ACES,51,8,8,6,1
5307,2008,Agr & Environmental Cmc & Educ,ACES,44,9,4,5,2
5490,2009,Agr & Environmental Cmc & Educ,ACES,53,4,5,6,1
5687,2010,Agr & Environmental Cmc & Educ,ACES,50,7,8,50,1
5887,2011,Agr & Environmental Cmc & Educ,ACES,38,7,32,37,2
