Fall,College,Major Name,Male,Female
1980,ACES,Agr & Environmental Cmc & Educ,4,1
1980,ACES,Agricultural & Applied Econ,277,38
1980,ACES,Agricultural Communications,31,48
1980,ACES,Agricultural Education,21,5
1980,ACES,Agricultural Engineering,75,8
1980,ACES,Agricultural Sciences,57,24
1980,ACES,Agronomy,133,40
1980,ACES,Animal Sciences,245,242
1980,ACES,Application Design,0,11
1980,ACES,CORE CURR,124,34
1980,ACES,DAIRY SCI,39,12
1980,ACES,DIETETICS,0,32
1980,ACES,EXT EDUC,5,8
1980,ACES,FAM&CON EC,0,20
1980,ACES,Food Science & Human Nutrition,82,127
1980,ACES,Forestry,95,29
1980,ACES,GEN AGR,57,17
1980,ACES,GEN AGRIC,1,0
1980,ACES,GEN H ECON,0,5
1980,ACES,H DVL-FAM,0,36
1980,ACES,HOME EC ED,0,1
1980,ACES,HOME ECON,0,171
1980,ACES,HOME MGMT,0,2
1980,ACES,HR&FS,0,1
1980,ACES,HR&FS A&ID,0,6
1980,ACES,HR&FS GEN,0,1
1980,ACES,HU DEV&FAM,1,13
1980,ACES,Horticulture,28,20
1980,ACES,INST MGMT,1,7
1980,ACES,INT DSGN,9,131
1980,ACES,Industrial Agriculture,57,13
1980,ACES,MKT TEXT&A,2,101
1980,ACES,Mechanical Agriculture,49,0
1980,ACES,Nutritional Sciences,11,19
1980,ACES,ORN HORT,53,69
1980,ACES,PLANT PATH,28,6
1980,ACES,Physics,336,26
1980,ACES,REST MGMT,30,23
1980,ACES,Secondary Education,8,8
1980,ACES,Spanish,18,28
1980,ACES,Speech & Hearing Science,13,145
1980,ACES,Statistics,6,5
1980,ACES,TEXT-APPRL,0,9
1980,ACES,Teaching of Biological Science,1,0
1980,ACES,Teaching of Chemistry,3,4
1980,ACES,Teaching of English Sec Lang,15,60
1980,ACES,Teaching of French,1,14
1980,ACES,Teaching of German,2,7
1980,ACES,Teaching of Latin,0,2
1980,ACES,Teaching of Mathematics,10,18
1980,ACES,VOC H E ED,0,36
1980,ACES,Wood Sciences,5,0
