Major Name,Total
Anthropology,78
Asian Studies,17
Astronomy,16
Atmospheric Sciences,22
Biochemistry,86
Biology,139
Biophysics & Computnl Biology,21
Chemical Engineering,530
Chemical Physics,6
Chemistry,531
Classical Philology,9
Classics,9
Comparative Literature,42
English,108
Entomology,30
French,40
GEN CURR,2408
Genetics,6
Geography,43
Geology,115
German,26
HR&FS,61
History,82
Italian,2
LAS TCH MATH,1
Linguistics,63
Mathematics,139
Microbiology,59
Molecular & Integrative Physi,57
PRE-JOURN,57
PRE-MED,28
PUB ADMIN,19
Philosophy,33
Plant Biology,31
Political Science,46
Psychology,160
Slavic Languages & Literature,13
Sociology,46
Speech Communication,49
TCH BIOL,17
TCH ENGL,55
TCH SOC ST,10
TCH SPEECH,9
UNCLASS,214
Zoology,3
