,Fall,College,Major Name,Total,Male,Female
1448,1987,Applied Health Sciences,Kinesiology,212,112,100
1452,1987,Applied Health Sciences,PROG MANAG,145,51,94
1442,1987,Applied Health Sciences,Biology,80,32,48
1455,1987,Applied Health Sciences,THER REC,46,7,39
1449,1987,Applied Health Sciences,Leisure Studies,42,17,25
1447,1987,Applied Health Sciences,HLTH PL AD,39,11,28
1450,1987,Applied Health Sciences,OUTDR REC,26,15,11
1446,1987,Applied Health Sciences,HLTH EDUC,24,5,19
1443,1987,Applied Health Sciences,CUR INST 2,22,12,10
1445,1987,Applied Health Sciences,CUR INST#3,13,10,3
