,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3298,1996,Fine and Applied Arts,Architectural Studies,524,345,179,461,63
3302,1996,Fine and Applied Arts,Art and Design,358,179,179,301,57
3314,1996,Fine and Applied Arts,Music Education,324,136,188,266,58
3299,1996,Fine and Applied Arts,Architecture,207,127,80,142,65
3313,1996,Fine and Applied Arts,Music,144,60,84,45,99
3320,1996,Fine and Applied Arts,Urban Planning,140,78,62,122,18
3307,1996,Fine and Applied Arts,Landscape Architecture,136,84,52,114,22
3300,1996,Fine and Applied Arts,Art Education,122,32,90,100,22
3305,1996,Fine and Applied Arts,Graphic Design,114,40,74,102,12
3311,1996,Fine and Applied Arts,MUSIC-INST,110,40,70,71,39
