,Fall,College,Major Name,Male,Female
3943,1999,LAS,African American Studies,6,7
3944,1999,LAS,Anthropology,21,43
3945,1999,LAS,Applied Mathematics,7,6
3946,1999,LAS,Asian Studies,14,20
3947,1999,LAS,Astronomy,20,8
3948,1999,LAS,Atmospheric Sciences,17,14
3949,1999,LAS,BIOCH,83,97
3950,1999,LAS,Biochemistry,45,32
3951,1999,LAS,Biology,34,25
3952,1999,LAS,Biophysics & Computnl Biology,34,15
3953,1999,LAS,CELL & STR BIOL,31,20
3954,1999,LAS,Chemical Engineering,314,154
3955,1999,LAS,Chemical Physics,2,2
3956,1999,LAS,Chemistry,256,144
3957,1999,LAS,Classical Philology,4,2
3958,1999,LAS,Classics,7,2
3959,1999,LAS,Comparative Literature,6,15
3960,1999,LAS,English,43,72
3961,1999,LAS,Entomology,21,11
3962,1999,LAS,French,9,28
3963,1999,LAS,GEN CURR,1356,1482
3964,1999,LAS,Geography,20,14
3965,1999,LAS,Geology,34,21
3966,1999,LAS,German,11,13
3967,1999,LAS,History,70,36
3968,1999,LAS,Italian,0,6
3969,1999,LAS,LAS TCH MATH,1,0
3970,1999,LAS,LATIN AMER ST,1,3
3971,1999,LAS,Linguistics,18,31
3972,1999,LAS,Mathematics,121,50
3973,1999,LAS,Microbiology,24,30
3974,1999,LAS,Molecular & Integrative Physi,25,17
3975,1999,LAS,Neuroscience,32,9
3976,1999,LAS,PRE-JOURN,114,310
3977,1999,LAS,PRE-MED,110,148
3978,1999,LAS,Philosophy,31,10
3979,1999,LAS,Plant Biology,12,14
3980,1999,LAS,Political Science,28,14
3981,1999,LAS,Portuguese,1,2
3982,1999,LAS,Psychology,74,85
3983,1999,LAS,REES,1,4
3984,1999,LAS,Slavic Languages & Literature,7,4
3985,1999,LAS,Sociology,18,27
3986,1999,LAS,Speech Communication,20,30
3987,1999,LAS,TCH BIOL,2,3
3988,1999,LAS,TCH ENGL,2,3
3989,1999,LAS,TCH SOC ST,1,0
3990,1999,LAS,TRANSITION,90,111
3991,1999,LAS,UNCLASS,88,112
3992,1999,LAS,UNCM FR&SO,89,92
