Major Name,Total
Agr & Consumer Economics,326
Agr & Environmental Cmc & Educ,133
Agr Engineering & Agr Science,51
Agricultural & Applied Econ,6
Agronomy,3
Animal Sciences,592
CFTM-CNSMR&TXTL,116
CFTM-MKT&PRICE,13
"CMDTY,FD,TXTL M",15
Crop Sciences,153
Food Science & Human Nutrition,362
Forestry,25
H DVL-FAM,1
HDFS-CH&AD DEV,140
HDFS-FS,75
HORT -- P&M,92
HORT--HORT SCI,10
HU DEV&FAM,3
Horticulture,5
Human & Community Development,25
IRCE-CONS EC&F,90
IRCE-E&NR MGMT,6
IRCE-INDCURRIC,7
"IRCE-POL,TRD,DV",36
NRES-BIOL SCI,104
NRES-ENV S W,11
NRES-F & W CONS,26
NRES-SOC SCI,79
Natural Resrcs & Environ Sci,133
Nondegree,17
Nutritional Sciences,34
ORN HORT,1
PLANT PATH,1
Physics,307
"Recreation, Sport, and Tourism ",106
Spanish,53
Speech & Hearing Science,248
Statistics,21
Teaching of Biological Science,2
Teaching of Chemistry,5
Teaching of Earth Science,3
Teaching of English Sec Lang,64
Teaching of French,10
Teaching of Latin,1
Teaching of Mathematics,1
