,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5896,2009,LAS,Psychology,1417,403,1013,1164,253
5887,2009,LAS,Molecular and Cellular Biology,1041,524,514,978,63
5894,2009,LAS,Political Science,1017,626,391,903,114
5863,2009,LAS,English,899,290,608,776,123
5862,2009,LAS,Economics,843,611,231,443,400
5847,2009,LAS,Biology,811,379,431,710,101
5853,2009,LAS,Chemistry,743,458,284,416,327
5874,2009,LAS,History,626,389,236,508,118
5851,2009,LAS,Chemical Engineering,574,378,195,356,218
5884,2009,LAS,Mathematics,567,350,217,347,220
