Major Name,Total
Aerospace Engineering,489
Agricultural & Biological Engr,183
Agricultural Engineering,2
Bioengineering,259
Bioinformatics,2
Civil Engineering,1241
Computer Engineering,697
Computer Science,1386
Electrical & Computer Engr,473
Electrical Engineering,1163
Engineering Mechanics,122
Engineering Physics,177
Engineering Undesignated,1
Environ Engr in Civil Engr,91
Environ Science in Civil Engr,7
Financial Engineering,100
General Engineering,368
Industrial Engineering,268
Materials Science & Engr,571
Mechanical Engineering,1110
Nondegree,228
Nuclear Engineering,26
"Nuclear, Plasma, Radiolgc Engr ",231
Physics,254
Systems & Entrepreneurial Engr,20
Teaching of Physics,1
Theoretical & Applied Mechans,51
