,Fall,College,Major Name,Male,Female
6626,2013,Business,Business Administration,33,36
6627,2013,Business,Business Administration (MBA),244,108
6628,2013,Business,Business Process Management,19,16
6629,2013,Business,Curric Unassigned,542,441
6630,2013,Business,Finance,387,218
6631,2013,Business,Information Sys & Info Tech,37,11
6632,2013,Business,Management,47,62
6633,2013,Business,Marketing,70,137
6634,2013,Business,Nondegree,43,29
6635,2013,Business,Supply Chain Management,38,32
6636,2013,Business,Taxation,13,18
6637,2013,Business,Technology Management,85,39
