,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
6818,2014,ACES,Agr & Consumer Economics,685,457,228,572,113
6826,2014,ACES,Animal Sciences,632,134,498,531,101
6830,2014,ACES,Food Science & Human Nutrition,517,132,385,379,138
6829,2014,ACES,Crop Sciences,262,160,102,179,83
6835,2014,ACES,Natural Resrcs & Environ Sci,232,115,117,178,54
6833,2014,ACES,Human Development & Family St,187,14,173,175,12
6836,2014,ACES,Nondegree,136,76,60,85,51
6823,2014,ACES,Agricultural & Biological Engr,100,68,32,66,34
6834,2014,ACES,Natural Res & Env Sciences,84,55,29,37,47
6822,2014,ACES,Agricultural & Applied Econ,67,37,30,14,53
