,Fall,College,Major Name,Total,Male,Female
7738,2018,Business,Business Administration (MBA),2017,1359,652
7740,2018,Business,Curric Unassigned,1021,575,445
7741,2018,Business,Finance,887,572,315
7745,2018,Business,Marketing,240,74,166
7744,2018,Business,Management,107,52,55
7742,2018,Business,Information Sys & Info Tech,103,57,46
7746,2018,Business,Nondegree,97,50,47
7737,2018,Business,Business Administration,95,41,52
7748,2018,Business,Supply Chain Management,85,32,53
7749,2018,Business,Technology Management,78,43,35
