Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,567,21,13,9,3,0,14,0,0,0,0,0
Architecture,143,4,2,4,2,0,26,0,0,0,0,0
Art Education,69,1,0,1,0,0,1,0,0,0,0,0
Art History,58,0,1,0,0,0,0,0,0,0,0,0
Art and Design,333,10,6,1,1,0,9,0,0,0,0,0
Crafts,20,0,0,0,0,0,0,0,0,0,0,0
Dance,38,1,0,1,1,0,0,0,0,0,0,0
Graphic Design,150,11,0,2,0,0,0,0,0,0,0,0
Industrial Design,81,5,9,2,0,0,0,0,0,0,0,0
Landscape Architecture,149,1,2,1,0,0,3,0,0,0,0,0
MUS-VOICE,41,0,1,0,0,0,2,0,0,0,0,0
MUSIC-COMP,19,0,0,0,0,0,0,0,0,0,0,0
MUSIC-INST,87,9,1,1,1,0,6,0,0,0,0,0
Music,213,4,8,5,0,0,14,0,0,0,0,0
Music Education,285,3,5,3,2,0,9,0,0,0,0,0
Music History,3,0,0,0,0,0,1,0,0,0,0,0
PERFORM ST,24,0,0,0,0,0,0,0,0,0,0,0
TCH DANCE,7,0,1,0,0,0,0,0,0,0,0,0
Theatre,29,0,0,0,0,0,0,0,0,0,0,0
UNCLASS,58,0,1,0,0,0,6,0,0,0,0,0
Urban Planning,76,2,7,0,0,0,6,0,0,0,0,0
