Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,1050,40,59,17,0,0,30,0,0,0,0,0
Business Administration,715,35,69,23,1,0,114,0,0,0,0,0
Computer Science,245,47,3,2,0,0,66,0,0,0,0,0
Economics,90,7,2,3,0,0,89,0,0,0,0,0
Finance,537,22,30,10,1,0,22,0,0,0,0,0
MARKETING,195,1,13,8,1,0,0,0,0,0,0,0
SEC TRAINING,1,0,0,0,0,0,0,0,0,0,0,0
Teaching of Spanish,11,0,0,2,0,0,1,0,0,0,0,0
Theatre,90,0,1,0,0,0,8,0,0,0,0,0
UNASSIGNED,563,16,12,7,2,0,1,0,0,0,0,0
