Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Biology,75,0,1,0,1,0,2,0,0,0,0,0
CUR INST 2,19,1,0,0,0,0,1,0,0,0,0,0
CUR INST#1,10,0,0,0,0,0,0,0,0,0,0,0
CUR INST#3,13,0,0,0,0,0,0,0,0,0,0,0
HLTH EDUC,20,2,2,0,0,0,0,0,0,0,0,0
HLTH PL AD,35,1,3,0,0,0,0,0,0,0,0,0
Kinesiology,167,8,4,4,0,0,23,0,0,0,0,0
Leisure Studies,30,1,0,0,0,0,10,0,0,0,0,0
OUTDR REC,24,0,1,1,0,0,0,0,0,0,0,0
PERSN AREA,2,0,0,0,0,0,0,0,0,0,0,0
PROG MANAG,134,3,4,3,1,0,0,0,0,0,0,0
SOC SCI SP,11,0,1,0,0,0,1,0,0,0,0,0
TCH KINES,1,0,0,0,0,0,0,0,0,0,0,0
THER REC,40,2,4,0,0,0,0,0,0,0,0,0
