Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
BUS EDUC,7,1,1,0,0,0,0,0,0,0,0,0
ED POL ST,16,1,18,4,1,0,8,0,0,0,0,0
ED SEC&CON,90,3,5,1,1,0,33,0,0,0,0,0
EDUC ELEMENTARY,87,4,12,2,1,0,27,0,0,0,0,0
EDUC GEN,170,6,9,3,0,0,0,0,0,0,0,0
Early Childhood Education,54,5,6,2,0,0,0,0,0,0,0,0
Ed Organization and Leadership,68,0,8,2,0,0,8,0,0,0,0,0
Educ Voc Tech,46,1,5,1,0,0,9,0,0,0,0,0
Educational Psychology,76,4,4,5,0,0,41,0,0,0,0,0
Elementary Education,318,19,20,13,1,0,2,0,0,0,0,0
Special Education,71,1,8,2,0,0,8,0,0,0,0,0
TCH ENGL,52,1,2,1,0,0,0,0,0,0,0,0
TCH GEN SCIENCE,10,0,0,0,0,0,0,0,0,0,0,0
TCH LIFE SCI,9,1,0,1,0,0,0,0,0,0,0,0
TCH PHYS SCI,4,1,0,0,0,0,0,0,0,0,0,0
TCH SOC ST,51,2,4,1,0,0,0,0,0,0,0,0
TECH ED SP,22,1,0,0,0,0,0,0,0,0,0,0
UG NON-DEG,1,0,0,0,0,0,0,0,0,0,0,0
