Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Biology,22,1,1,0,0,0,0,0,0,0,0,0
CUR INST 2,1,0,0,0,0,0,0,0,0,0,0,0
CUR INST#3,5,0,0,0,0,0,0,0,0,0,0,0
HLTH EDUC,18,1,3,0,0,0,0,0,0,0,0,0
HLTH PL AD,61,8,19,3,0,0,0,0,0,0,0,0
Kinesiology,344,24,30,12,0,0,21,0,0,0,0,0
Leisure Studies,118,10,7,6,1,0,9,0,0,0,0,0
MSPH IN C HLTH,5,0,1,1,0,0,2,0,0,0,0,0
PERSN AREA,0,0,1,0,0,0,0,0,0,0,0,0
PROG MANAG,31,2,6,0,1,0,0,0,0,0,0,0
Rehabilitation,23,1,1,0,0,0,1,0,0,0,0,0
SOC SCI SP,4,0,1,0,0,0,0,0,0,0,0,0
TCH KINES,1,0,0,0,0,0,0,0,0,0,0,0
THER REC,9,0,0,0,0,0,0,0,0,0,0,0
