Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,415,39,24,27,1,0,4,0,0,0,0,0
Architecture,139,14,1,3,0,0,27,0,0,0,0,0
Art Education,75,15,3,5,0,0,11,0,0,0,0,0
Art History,51,4,2,2,0,0,6,0,0,0,0,0
Art and Design,267,30,6,12,2,0,11,0,0,0,0,0
Crafts,33,2,2,2,1,0,0,0,0,0,0,0
Dance,52,3,4,2,0,0,4,0,0,0,0,0
Graphic Design,91,24,1,3,1,0,4,0,0,0,0,0
Industrial Design,53,17,1,7,0,0,3,0,0,0,0,0
Landscape Architecture,110,7,1,6,0,0,10,0,0,0,0,0
MUS-VOICE,35,4,3,2,0,0,0,0,0,0,0,0
MUSIC(AMS),51,2,4,2,0,0,38,0,0,0,0,0
MUSIC-COMP,9,1,0,0,0,0,0,0,0,0,0,0
MUSIC-INST,73,18,2,2,1,0,7,0,0,0,0,0
MUSIC-OPEN,1,0,0,0,0,0,0,0,0,0,0,0
Music,80,9,4,3,0,0,37,0,0,0,0,0
Music Education,295,10,7,13,1,0,9,0,0,0,0,0
Music History,5,1,0,0,1,0,0,0,0,0,0,0
PERFORM ST,17,1,3,1,0,0,0,0,0,0,0,0
Regional Planning,5,0,0,0,0,0,4,0,0,0,0,0
Theatre,34,1,0,0,0,0,0,0,0,0,0,0
UNCLASS,14,1,2,0,0,0,17,0,0,0,0,0
Urban Planning,106,11,13,3,0,0,11,0,0,0,0,0
