Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
African American Studies,3,0,4,0,0,0,3,0,0,0,0,0
Anthropology,47,2,0,4,0,0,18,0,0,0,0,0
Applied Mathematics,3,0,0,0,0,0,9,0,0,0,0,0
Asian Studies,7,2,0,0,0,0,18,0,0,0,0,0
Astronomy,11,1,0,0,0,0,9,0,0,0,0,0
Atmospheric Sciences,11,0,0,1,0,0,15,0,0,0,0,0
BIOCH,123,66,10,8,0,0,1,0,0,0,0,0
Biochemistry,45,10,0,2,0,0,20,0,0,0,0,0
Biology,77,7,1,2,0,0,14,0,0,0,0,0
Biophysics & Computnl Biology,15,5,0,1,0,0,23,0,0,0,0,0
CELL & STR BIOL,6,2,0,0,0,0,3,0,0,0,0,0
Chemical Engineering,300,85,24,14,0,0,39,0,0,0,0,0
Chemical Physics,1,0,0,0,0,0,2,0,0,0,0,0
Chemistry,292,34,6,10,0,0,48,0,0,0,0,0
Classical Philology,3,0,0,0,0,0,1,0,0,0,0,0
Classics,6,0,0,0,0,0,0,0,0,0,0,0
Comparative Literature,17,1,0,0,0,0,9,0,0,0,0,0
English,100,4,10,4,1,0,10,0,0,0,0,0
Entomology,28,1,2,0,0,0,3,0,0,0,0,0
French,23,0,0,0,0,0,15,0,0,0,0,0
GEN CURR,1653,394,367,234,11,0,11,0,0,0,0,0
Geography,19,0,0,0,0,0,8,0,0,0,0,0
Geology,35,1,0,1,0,0,11,0,0,0,0,0
German,17,0,0,0,0,0,6,0,0,0,0,0
History,87,1,8,3,0,0,14,0,0,0,0,0
Italian,1,0,0,1,0,0,2,0,0,0,0,0
LAS TCH MATH,3,2,0,0,0,0,0,0,0,0,0,0
LATIN AMER ST,2,0,0,1,0,0,0,0,0,0,0,0
Linguistics,15,2,0,0,0,0,37,0,0,0,0,0
Mathematics,47,7,1,1,0,0,96,0,0,0,0,0
Microbiology,32,6,1,4,0,0,11,0,0,0,0,0
Molecular & Integrative Physi,20,7,1,1,0,0,15,0,0,0,0,0
Neuroscience,28,3,1,2,0,0,10,0,0,0,0,0
PRE-JOURN,252,32,53,24,1,0,0,0,0,0,0,0
PRE-MED,125,58,47,19,1,0,1,0,0,0,0,0
Philosophy,39,0,0,0,1,0,3,0,0,0,0,0
Plant Biology,20,0,1,1,0,0,13,0,0,0,0,0
Political Science,32,0,1,0,0,0,8,0,0,0,0,0
Portuguese,1,0,0,0,0,0,2,0,0,0,0,0
Psychology,109,10,8,8,0,0,28,0,0,0,0,0
REES,3,0,0,0,0,0,1,0,0,0,0,0
Slavic Languages & Literature,7,0,0,1,0,0,4,0,0,0,0,0
Sociology,16,3,3,1,0,0,17,0,0,0,0,0
Speech Communication,49,0,0,2,0,0,7,0,0,0,0,0
TCH BIOL,9,3,0,0,0,0,0,0,0,0,0,0
TCH ENGL,22,0,0,3,0,0,0,0,0,0,0,0
TCH SOC ST,7,2,1,2,0,0,0,0,0,0,0,0
TRANSITION,13,1,146,42,0,0,0,0,0,0,0,0
UNCLASS,67,7,2,2,1,0,116,0,0,0,0,0
UNCM FR&SO,124,12,22,11,0,0,1,0,0,0,0,0
