Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Aerospace Engineering,313,70,10,19,4,0,81,10,0,0,0,0
Agricultural & Biological Engr,33,4,0,1,0,0,20,1,0,0,0,0
Agricultural Engineering,44,2,0,1,0,0,17,0,0,0,0,0
Bioengineering,105,38,1,4,1,0,22,7,0,0,0,0
Bioinformatics,2,0,0,0,0,0,2,0,0,0,0,0
Civil Engineering,668,87,27,43,1,0,234,30,0,0,0,0
Computer Engineering,228,90,17,24,0,0,98,12,0,0,0,0
Computer Science,434,154,10,15,1,0,399,22,0,0,0,0
Electrical & Computer Engr,157,44,9,11,0,0,283,9,0,0,0,0
Electrical Engineering,337,222,21,45,1,0,303,16,0,0,0,0
Engineering Mechanics,66,15,0,5,0,0,17,3,0,0,0,0
Engineering Physics,101,17,2,5,0,0,11,3,0,0,0,0
Environ Engr in Civil Engr,31,6,0,5,0,0,37,1,0,0,0,0
Environ Science in Civil Engr,3,2,0,1,0,0,3,2,0,0,0,0
General Engineering,315,74,7,20,0,0,32,6,0,0,0,0
Industrial Engineering,51,17,5,6,0,0,77,3,0,0,0,0
Materials Science & Engr,236,68,5,9,1,0,132,12,0,0,0,0
Mechanical Engineering,638,106,21,38,1,0,229,19,0,0,0,0
Nondegree,42,6,0,3,0,0,142,3,0,0,0,0
Nuclear Engineering,60,8,5,5,2,0,33,4,0,0,0,0
"Nuclear, Plasma, Radiolgc Engr ",64,8,1,4,0,0,22,3,0,0,0,0
Physics,117,17,2,4,0,0,133,2,0,0,0,0
Systems & Entrepreneurial Engr,11,0,1,0,0,0,18,0,0,0,0,0
Theoretical & Applied Mechans,18,1,0,2,0,0,24,1,0,0,0,0
