Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agricultural Communications,6,0,1,0,0,0,0,0,1,0,0,0
Broadcast Journalism,101,9,24,10,0,0,8,1,26,1,0,0
Communications,7,3,2,6,0,0,17,1,4,2,0,0
Communications and Media,3,2,1,1,0,0,7,0,2,0,0,0
General Curriculum,3,0,0,0,0,0,0,0,0,0,0,0
Journalism,9,0,1,0,0,0,2,0,2,0,0,0
Media Studies,8,1,0,1,0,0,2,0,0,0,0,0
Media and Cinema Studies,76,12,10,7,0,0,10,0,11,1,0,0
News-Editorial,117,12,12,16,0,2,5,0,14,2,0,0
Nondegree,0,1,0,0,0,0,3,0,0,0,0,0
