Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Consumer Economics,454,75,29,35,1,0,60,3,33,8,1,83
Agr Engineering & Agr Science,0,0,0,1,0,0,0,0,1,0,0,0
Agric Leadership & Sci Educ,49,0,2,3,0,0,0,0,2,1,0,0
Agricultural & Applied Econ,19,3,2,1,0,0,56,1,2,0,0,4
Agricultural & Biological Engr,50,14,6,5,0,1,17,2,6,1,1,16
Agricultural Education,8,0,0,0,0,0,0,1,0,0,0,1
Agricultural Production,3,0,0,0,0,0,4,0,0,0,0,1
Agriculture,0,0,1,0,0,0,0,0,1,0,0,0
Animal Sciences,406,45,29,81,0,0,37,2,37,4,3,61
Bioenergy,4,2,0,1,0,0,12,0,0,0,0,2
Bioinformatics,1,1,0,0,0,0,0,0,0,0,0,1
Crop Sciences,186,8,4,5,1,0,48,2,5,2,0,16
Food Science & Human Nutrition,243,68,32,37,0,0,102,5,34,3,1,72
Horticulture,16,3,0,4,0,0,1,0,0,0,0,3
Human & Community Development,13,1,3,8,0,0,5,0,4,0,0,3
Human Development & Family St,109,16,26,33,0,0,4,0,35,7,0,17
Natural Res & Env Sciences,67,1,2,2,0,0,7,1,2,3,0,1
Natural Resrcs & Environ Sci,141,13,8,21,0,0,44,0,11,5,1,21
Nondegree,68,1,3,2,1,0,43,1,3,1,0,1
Nutritional Sciences,23,8,1,5,0,0,6,1,2,0,0,9
