Major Name,Total
African American Studies,1
Anthropology,78
Applied Mathematics,21
Asian Studies,33
Astronomy,15
Atmospheric Sciences,28
BIOCH,173
Biochemistry,112
Biology,138
Biophysics & Computnl Biology,43
Chemical Engineering,370
Chemical Physics,5
Chemistry,462
Classical Philology,8
Classics,7
Comparative Literature,29
English,130
Entomology,19
French,51
GEN CURR,2104
Geography,39
Geology,43
German,36
History,129
Italian,2
LAS TCH MATH,16
Linguistics,91
Mathematics,208
Microbiology,63
Molecular & Integrative Physi,58
PRE-JOURN,539
PRE-MED,169
PUB ADMIN,3
Philosophy,37
Plant Biology,32
Political Science,61
Portuguese,2
Psychology,200
Slavic Languages & Literature,28
Sociology,39
Speech Communication,49
TCH BIOL,19
TCH ENGL,73
TCH PHY SC,1
TCH RUSS,3
TCH SOC ST,16
TCH SPEECH,8
TEACH CS,4
UNCLASS,200
UNCM FR&SO,288
