Major Name,Total
Agr & Consumer Economics,181
Agr & Environmental Cmc & Educ,63
Agr Engineering & Agr Science,45
Agricultural & Applied Econ,246
Agricultural Communications,46
Agricultural Education,12
Agricultural Engineering,28
Agricultural Sciences,15
Agronomy,108
Animal Sciences,549
CFTM-CNSMR&TXTL,67
CFTM-MKT&PRICE,12
CONSM ECON,6
CORE CURR,9
Crop Sciences,48
DIETETICS,45
FAM&CON EC,7
Food Science & Human Nutrition,278
Forestry,126
H DVL-FAM,111
HDFS-CH&AD DEV,49
HDFS-FS,17
HORT -- P&M,39
HORT--HORT SCI,7
HR&FS A&ID,7
HU DEV&FAM,28
Horticulture,106
IRCE-CONS EC&F,32
IRCE-E&NR MGMT,4
IRCE-INDCURRIC,11
"IRCE-POL,TRD,DV",10
MKT TEXT&A,22
Mechanical Agriculture,29
NRES - SOILS,1
NRES-BIOL SCI,30
NRES-SOC SCI,9
Nutritional Sciences,37
ORN HORT,64
PLANT PATH,19
Physics,302
REST MGMT,23
"Recreation, Sport, and Tourism ",44
Secondary Education,29
Spanish,50
Speech & Hearing Science,246
Statistics,17
TEXT-APPRL,3
Teaching of Biological Science,7
Teaching of Chemistry,14
Teaching of Earth Science,3
Teaching of English Sec Lang,96
Teaching of French,7
Teaching of German,2
Teaching of Latin,2
Teaching of Mathematics,20
Teaching of Physics,4
