,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3921,1999,Fine and Applied Arts,Architectural Studies,535,328,207,478,57
3925,1999,Fine and Applied Arts,Art and Design,317,404,167,265,56
3936,1999,Fine and Applied Arts,Music Education,293,111,182,246,47
3942,1999,Fine and Applied Arts,Urban Planning,168,96,72,124,44
3935,1999,Fine and Applied Arts,Music,146,60,86,34,112
3922,1999,Fine and Applied Arts,Architecture,143,91,52,94,49
3930,1999,Fine and Applied Arts,Landscape Architecture,137,78,59,111,26
3923,1999,Fine and Applied Arts,Art Education,125,31,94,106,19
3928,1999,Fine and Applied Arts,Graphic Design,109,41,68,94,15
3934,1999,Fine and Applied Arts,MUSIC-INST,109,37,72,66,43
