Major Name,Total
Architectural Studies,534
Architecture,203
Art Education,106
Art History,31
Art and Design,48
Crafts,22
Creative Writing,3
Dance,66
General Curriculum,176
Graphic Design,75
History of Art,22
Industrial Design,98
Instrumental Music,122
Landscape Architecture,158
Music,277
Music Composition,9
Music Education,227
Music History,1
Musicology,10
Nondegree,29
Open Studies,20
Painting,48
Photography,33
Regional Planning,28
Sculpture,15
Theatre,199
Urban Planning,191
Voice,19
