Major Name,Total
Aero & Astro Engineering,24
Aerospace Engineering,426
Agricultural Engineering,88
Bioengineering,101
Bioinformatics,4
Civil Engineering,793
Computer Engineering,477
Computer Science,987
Electrical & Computer Engr,163
Electrical Engineering,1195
Engineering Mechanics,62
Engineering Physics,124
Environ Engr in Civil Engr,58
Environ Science in Civil Engr,16
General Engineering,580
Industrial Engineering,81
Materials Science & Engr,403
Mechanical Engineering,1079
Nondegree,104
Nuclear Engineering,162
Physics,298
Systems & Entrepreneurial Engr,31
Theoretical & Applied Mechans,61
