Major Name,Total
Accountancy,1422
Actuarial Science,389
Advertising,589
African American Studies,11
Anthropology,146
Applied Mathematics,36
Curriculum and Instruction,116
Early Childhood Education,62
Ed Organization and Leadership,80
"Educ Policy, Orgzn & Leadrshp ",95
Educational Policy Studies,126
Educational Psychology,51
Elementary Education,378
Human Resource Education,37
Learning and Education Studies,27
Nondegree,6
Pre-Early Chld/Elem Ed/Spec Ed,22
Secondary & Continuing Educ,1
Secondary Education,22
Special Education,172
