,Fall,Major Name,Male,Female
0,1980,Accountancy,928,601
1,1980,Advertising,77,163
2,1980,Aero & Astro Engineering,351,28
3,1980,Agr & Environmental Cmc & Educ,4,1
4,1980,Agricultural & Applied Econ,277,38
5,1980,Agricultural Communications,31,48
6,1980,Agricultural Education,21,5
7,1980,Agricultural Engineering,168,21
8,1980,Agricultural Sciences,57,24
9,1980,Agronomy,133,40
10,1980,Air Systems,152,20
11,1980,Animal Sciences,245,242
12,1980,Anthropology,42,36
13,1980,Application Design,0,11
14,1980,Architectural Studies,474,153
15,1980,Architecture,154,32
16,1980,Art Education,13,59
17,1980,Art History,14,45
18,1980,Art and Design,115,248
19,1980,Asian Studies,10,7
20,1980,Astronomy,13,3
21,1980,Atmospheric Sciences,17,5
22,1980,Avionics,8,0
23,1980,BUS EDUC,13,20
24,1980,Biochemistry,66,20
25,1980,Biology,93,65
26,1980,Biophysics & Computnl Biology,18,3
27,1980,Business Administration,831,583
28,1980,CER ENGR,125,31
29,1980,CERAMICS,4,0
30,1980,CORE CURR,124,34
31,1980,Chemical Engineering,419,111
32,1980,Chemical Physics,5,1
33,1980,Chemistry,408,123
34,1980,Civil Engineering,792,110
35,1980,Classical Philology,7,2
36,1980,Classics,8,1
37,1980,Communication,12,15
38,1980,Community Health,18,28
39,1980,Comparative Literature,22,20
40,1980,Computer Engineering,252,34
41,1980,Computer Science,544,153
42,1980,Crafts,5,15
43,1980,DAIRY SCI,39,12
44,1980,DIETETICS,0,32
45,1980,Dance,5,36
46,1980,ED POL ST,31,25
47,1980,ED SEC&CON,48,67
48,1980,EDUC ELEMENTARY,26,103
49,1980,EDUC GEN,32,84
50,1980,EDUC IDISC,2,3
51,1980,ENGR MECH,28,6
52,1980,ENGR PHYS,97,8
53,1980,ENV ENGR,27,6
54,1980,ENV SCI,5,0
55,1980,EXT EDUC,5,8
56,1980,Early Childhood Education,0,78
57,1980,Economics,117,43
58,1980,Ed Organization and Leadership,65,70
59,1980,Educ Voc Tech,59,61
60,1980,Educational Psychology,65,91
61,1980,Electrical Engineering,1497,148
62,1980,Elementary Education,33,395
63,1980,English,50,58
64,1980,Entomology,23,7
65,1980,FAM&CON EC,0,20
66,1980,Finance,352,184
67,1980,Food Science & Human Nutrition,82,127
68,1980,Forestry,95,29
69,1980,French,7,33
70,1980,GEN AGR,57,17
71,1980,GEN AGRIC,1,0
72,1980,GEN CURR,1015,1393
73,1980,GEN ENGR,485,133
74,1980,GEN H ECON,0,5
75,1980,Genetics,3,3
76,1980,Geography,30,13
77,1980,Geology,79,36
78,1980,German,13,13
79,1980,Graphic Design,40,124
80,1980,H DVL-FAM,0,36
81,1980,HEALTH&SAF,4,4
82,1980,HLTH EDUC,12,53
83,1980,HOME EC ED,0,1
84,1980,HOME ECON,0,171
85,1980,HOME MGMT,0,2
86,1980,HR&FS,0,62
87,1980,HR&FS A&ID,0,6
88,1980,HR&FS GEN,0,1
89,1980,HU DEV&FAM,1,13
90,1980,History,46,36
91,1980,Horticulture,28,20
92,1980,INST MGMT,1,7
93,1980,INT DSGN,9,131
94,1980,Industrial Agriculture,57,13
95,1980,Industrial Design,56,41
96,1980,Industrial Engineering,130,58
97,1980,Italian,2,0
98,1980,Journalism,75,128
99,1980,Kinesiology,125,143
100,1980,LAB&IN REL,47,32
101,1980,LAS TCH MATH,0,1
102,1980,Landscape Architecture,97,61
103,1980,Law,468,171
104,1980,Leisure Studies,28,24
105,1980,Library & Information Science,34,108
106,1980,Linguistics,32,31
107,1980,MARKETING,24,30
108,1980,METAL ENGR,159,31
109,1980,MKT TEXT&A,2,101
110,1980,MOTOR DEV,3,30
111,1980,MOTOR P&SP,14,14
112,1980,MUS-VOICE,15,29
113,1980,MUSIC-COMP,16,3
114,1980,MUSIC-INST,54,51
115,1980,Mathematics,119,20
116,1980,Mechanical Agriculture,49,0
117,1980,Mechanical Engineering,934,78
118,1980,Microbiology,34,25
119,1980,Molecular & Integrative Physi,43,14
120,1980,Music,144,107
121,1980,Music Education,130,179
122,1980,Music History,1,3
123,1980,Nuclear Engineering,178,9
