Fall,College,Major Name,Total
1980,ACES,Agricultural & Applied Econ,1
1980,ACES,Agricultural Communications,1
1980,LAS,Classics,1
1980,ACES,Teaching of Biological Science,1
1980,ACES,Teaching of French,1
1980,ACES,Teaching of Latin,1
1980,ACES,Teaching of Latin,1
1980,Engineering,ENGR MECH,1
1980,Engineering,ENGR MECH,1
1980,ACES,GEN AGRIC,1
1980,ACES,HOME EC ED,1
1980,ACES,HR&FS,1
1980,ACES,HR&FS GEN,1
1980,Engineering,Industrial Engineering,1
1980,LAS,LAS TCH MATH,1
1980,Applied Health Sciences,Leisure Studies,1
1980,ACES,Mechanical Agriculture,1
1980,LAS,TCH SOC ST,1
1980,ACES,Animal Sciences,2
1980,Engineering,CER ENGR,2
1980,Engineering,CER ENGR,2
1980,ACES,Teaching of Mathematics,2
1980,Engineering,ENGR PHYS,2
1980,ACES,HOME MGMT,2
1980,LAS,Italian,2
1980,Education,TCH GEN SCIENCE,2
1980,Education,TCH PHYS SCI,2
1980,Engineering,Aero & Astro Engineering,3
1980,ACES,Teaching of Chemistry,3
1980,LAS,Zoology,3
1980,Fine and Applied Arts,Architecture,4
1980,Engineering,CERAMICS,4
1980,ACES,Teaching of Chemistry,4
1980,ACES,Teaching of German,4
1980,Engineering,ENGR PHYS,4
1980,Fine and Applied Arts,Music History,4
1980,ACES,ORN HORT,4
1980,LAS,TCH ENGL,4
1980,ACES,Agr & Environmental Cmc & Educ,5
1980,Applied Life Sciences,Community Health,5
1980,Engineering,Computer Science,5
1980,Education,EDUC IDISC,5
1980,ACES,Teaching of German,5
1980,Engineering,ENV SCI,5
1980,ACES,GEN H ECON,5
1980,Law,Law,5
1980,Engineering,Nuclear Engineering,5
1980,ACES,Wood Sciences,5
1980,LAS,Chemical Physics,6
1980,Engineering,Electrical Engineering,6
1980,Business,Teaching of Spanish,6
1980,LAS,Genetics,6
1980,ACES,HR&FS A&ID,6
1980,Engineering,Civil Engineering,7
1980,Engineering,GEN ENGR,7
1980,Engineering,Mechanical Engineering,7
1980,Engineering,Agricultural Engineering,8
1980,LAS,Classics,8
1980,Aviation,Avionics,8
1980,Applied Health Sciences,HEALTH&SAF,8
1980,ACES,INST MGMT,8
1980,Applied Health Sciences,PROG SPEC,8
1980,LAS,Psychology,8
1980,Fine and Applied Arts,TCH DANCE,8
1980,Applied Health Sciences,TCH KINES,8
1980,LAS,Classical Philology,9
1980,Business,Theatre,9
1980,Education,TCH LIFE SCI,9
1980,LAS,TCH SOC ST,9
1980,LAS,TCH SPEECH,9
1980,ACES,TEXT-APPRL,9
1980,Engineering,METAL ENGR,10
1980,ACES,Application Design,11
1980,Fine and Applied Arts,Dance,11
1980,ACES,Statistics,11
1980,Engineering,Industrial Engineering,11
1980,VetMed,VMS-Veterinary Clinical Medcne,11
1980,Fine and Applied Arts,Art and Design,12
1980,Education,TCH ENGL,12
